TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8955289","One Piece Card Game","Carrying On His Will","Gum-Gum Elephant Gun","","OP13-038","UC","Near Mint","0.10","","1.3200","0.0100","2","0","0.1500",""
"8955189","One Piece Card Game","Carrying On His Will","Gum-Gum Gatling Gun","","OP13-021","C","Near Mint","0.10","","1.3200","0.0100","4","0","0.1500",""
"8955294","One Piece Card Game","Carrying On His Will","Gum-Gum Snake Shot","","OP13-039","C","Near Mint","0.10","","1.3200","0.0100","6","0","0.1500",""
"8955714","One Piece Card Game","Carrying On His Will","Gyogyo","","OP13-103","C","Near Mint","0.02","","1.3200","0.0100","5","0","0.1500",""
"8955634","One Piece Card Game","Carrying On His Will","Hack","","OP13-090","UC","Near Mint","0.08","","1.3200","0.0100","2","0","0.1500",""
"8955329","One Piece Card Game","Carrying On His Will","Haruta","","OP13-045","C","Near Mint","0.03","","1.3200","0.0100","5","0","0.1500",""
"8955279","One Piece Card Game","Carrying On His Will","Helmeppo","","OP13-036","UC","Near Mint","0.08","","1.3200","0.0100","3","0","0.1500",""
"8955499","One Piece Card Game","Carrying On His Will","Hera","","OP13-074","C","Near Mint","0.03","","1.3200","0.0100","5","0","0.1500",""
"8955144","One Piece Card Game","Carrying On His Will","Higuma","","OP13-013","C","Near Mint","0.02","","1.3200","0.0100","6","0","0.1500",""
"8955299","One Piece Card Game","Carrying On His Will","I Know You're Strong... So I'll Go All Out from the Very Start!!!","","OP13-040","R","Near Mint Foil","0.18","","1.3200","0.0100","0","0","0.1500",""
"8955399","One Piece Card Game","Carrying On His Will","If I Bowed Down to Power, What's the Point in Living?","","OP13-057","R","Near Mint Foil","0.14","","1.3200","0.0100","2","0","0.1500",""
"8955529","One Piece Card Game","Carrying On His Will","Imu","","OP13-079","L","Near Mint","0.18","","1.3700","0.0600","0","0","0.1500",""
"8955099","One Piece Card Game","Carrying On His Will","Inazuma","","OP13-005","UC","Near Mint","0.07","","1.3200","0.0100","0","0","0.1500",""
"8955419","One Piece Card Game","Carrying On His Will","Inuarashi","","OP13-061","C","Near Mint","0.08","","1.3200","0.0100","2","0","0.1500",""
"8955304","One Piece Card Game","Carrying On His Will","Izo","","OP13-041","UC","Near Mint","0.05","","1.3200","0.0100","2","0","0.1500",""
"8955694","One Piece Card Game","Carrying On His Will","Jewelry Bonney (100)","","OP13-100","L","Near Mint","0.12","","1.3200","0.0100","1","0","0.1500",""
"8955749","One Piece Card Game","Carrying On His Will","Jewelry Bonney (109)","","OP13-109","UC","Near Mint","0.06","","1.3200","0.0100","0","0","0.1500",""
"8955244","One Piece Card Game","Carrying On His Will","Jinbe","","OP13-029","UC","Near Mint","0.09","","1.3200","0.0100","2","0","0.1500",""
"8955554","One Piece Card Game","Carrying On His Will","Koala","","OP13-081","C","Near Mint","0.06","","1.3200","0.0100","5","0","0.1500",""
"8955214","One Piece Card Game","Carrying On His Will","Koby","","OP13-025","C","Near Mint","0.06","","1.3200","0.0100","5","0","0.1500",""
"8955719","One Piece Card Game","Carrying On His Will","Kouzuki Hiyori","","OP13-104","R","Near Mint Foil","0.28","","1.4000","0.0900","0","0","0.1500",""
"8955724","One Piece Card Game","Carrying On His Will","Kouzuki Momonosuke","","OP13-105","C","Near Mint","0.05","","1.3200","0.0100","6","0","0.1500",""
"8955429","One Piece Card Game","Carrying On His Will","Kouzuki Oden","","OP13-063","UC","Near Mint","0.12","","1.3200","0.0100","3","0","0.1500",""
"8955774","One Piece Card Game","Carrying On His Will","Lilith","","OP13-113","R","Near Mint Foil","0.68","","1.4900","0.1800","0","0","0.1900",""
"8955394","One Piece Card Game","Carrying On His Will","LittleOars Jr.","","OP13-056","C","Near Mint","0.03","","1.3200","0.0100","5","0","0.1500",""
"8955129","One Piece Card Game","Carrying On His Will","Lord of the Coast","","OP13-010","C","Near Mint","0.05","","1.3200","0.0100","6","0","0.1500",""
"8955374","One Piece Card Game","Carrying On His Will","Marshall.D.Teach","","OP13-053","C","Near Mint","0.05","","1.3200","0.0100","6","0","0.1500",""
"8955184","One Piece Card Game","Carrying On His Will","Meteor Fist","","OP13-020","UC","Near Mint","0.08","","1.3200","0.0100","2","0","0.1500",""
"8955169","One Piece Card Game","Carrying On His Will","Monkey.D.Dragon","","OP13-017","R","Near Mint Foil","0.10","","1.3200","0.0100","1","0","0.1500",""
"8955159","One Piece Card Game","Carrying On His Will","Monkey.D.Garp","","OP13-016","R","Near Mint Foil","0.39","","1.3700","0.0600","0","0","0.1500",""
"8955059","One Piece Card Game","Carrying On His Will","Monkey.D.Luffy (001)","","OP13-001","L","Near Mint","0.16","","1.3200","0.0100","2","0","0.1500",""
"8955809","One Piece Card Game","Carrying On His Will","Monkey.D.Luffy (118)","","OP13-118","SEC","Near Mint Foil","19.99","","20.3100","20.3100","0","0","20.1000",""
"8955659","One Piece Card Game","Carrying On His Will","Morgans","","OP13-093","C","Near Mint","0.03","","1.3200","0.0100","5","0","0.1500",""
"8955479","One Piece Card Game","Carrying On His Will","Napoleon","","OP13-070","C","Near Mint","0.04","","1.3200","0.0100","4","0","0.1500",""
"8955134","One Piece Card Game","Carrying On His Will","Nefeltari Cobra","","OP13-011","UC","Near Mint","0.07","","1.3200","0.0100","3","0","0.1500",""
"8955139","One Piece Card Game","Carrying On His Will","Nefeltari Vivi","","OP13-012","R","Near Mint Foil","0.18","","1.3200","0.0100","1","0","0.1500",""
"8955484","One Piece Card Game","Carrying On His Will","Nekomamushi","","OP13-071","UC","Near Mint","0.14","","1.3200","0.0100","0","0","0.1500",""
"8955684","One Piece Card Game","Carrying On His Will","Never Existed... in the First Place...","","OP13-098","UC","Near Mint","0.47","","1.6600","0.3500","0","0","0.3200",""
"8955259","One Piece Card Game","Carrying On His Will","Nico Robin","","OP13-032","UC","Near Mint","0.13","","1.3300","0.0200","3","0","0.1500",""
"8955524","One Piece Card Game","Carrying On His Will","Oro Jackson","","OP13-078","C","Near Mint","0.06","","1.3200","0.0100","0","0","0.1500",""
"8955319","One Piece Card Game","Carrying On His Will","Otama","","OP13-043","R","Near Mint Foil","0.34","","1.5000","0.1900","0","0","0.2000",""
"8955794","One Piece Card Game","Carrying On His Will","Paper Art Afterimage","","OP13-115","C","Near Mint","0.07","","1.3200","0.0100","4","0","0.1500",""
"8955404","One Piece Card Game","Carrying On His Will","Phoenix Pyreapple","","OP13-058","UC","Near Mint","0.08","","1.3300","0.0200","3","0","0.1500",""
"8955069","One Piece Card Game","Carrying On His Will","Portgas.D.Ace (002)","","OP13-002","L","Near Mint","0.16","","1.3200","0.0100","3","0","0.1500",""
"8955149","One Piece Card Game","Carrying On His Will","Portgas.D.Rouge","","OP13-014","C","Near Mint","0.05","","1.3200","0.0100","5","0","0.1500",""
"8955494","One Piece Card Game","Carrying On His Will","Prometheus","","OP13-073","UC","Near Mint","0.05","","1.3200","0.0100","1","0","0.1500",""
"8955764","One Piece Card Game","Carrying On His Will","Pythagoras","","OP13-111","UC","Near Mint","0.05","","1.3200","0.0100","2","0","0.1500",""
"8955389","One Piece Card Game","Carrying On His Will","Rakuyo","","OP13-055","C","Near Mint","0.03","","1.3200","0.0100","6","0","0.1500",""
"8955284","One Piece Card Game","Carrying On His Will","Roronoa Zoro","","OP13-037","R","Near Mint Foil","0.32","","1.3900","0.0800","0","0","0.1500",""
"8955784","One Piece Card Game","Carrying On His Will","S-Snake","","OP13-114","R","Near Mint Foil","0.17","","1.3600","0.0500","0","0","0.1500",""
"8955089","One Piece Card Game","Carrying On His Will","Sabo (004)","","OP13-004","L","Near Mint","0.11","","1.3200","0.0100","3","0","0.1500",""
"8955609","One Piece Card Game","Carrying On His Will","Saint Charlos","","OP13-087","UC","Near Mint","0.10","","1.4000","0.0900","0","0","0.1500",""
"8955599","One Piece Card Game","Carrying On His Will","Saint Jalmac","","OP13-085","C","Near Mint","0.04","","1.3200","0.0100","4","0","0.1500",""
"8955654","One Piece Card Game","Carrying On His Will","Saint Mjosgard","","OP13-092","C","Near Mint","0.09","","1.3400","0.0300","0","0","0.1500",""
"8955669","One Piece Card Game","Carrying On His Will","Saint Rosward","","OP13-095","C","Near Mint","0.04","","1.3200","0.0100","1","0","0.1500",""
"8955604","One Piece Card Game","Carrying On His Will","Saint Shalria","","OP13-086","UC","Near Mint","0.45","","1.6100","0.3000","0","0","0.2500",""
"8955224","One Piece Card Game","Carrying On His Will","Sanji","","OP13-027","R","Near Mint Foil","0.20","","1.3500","0.0400","1","0","0.1500",""
"8955229","One Piece Card Game","Carrying On His Will","Sanji (Alternate Art)","","OP13-027","R","Near Mint Foil","12.18","","11.9900","11.0000","0","0","11.9500",""
"8955464","One Piece Card Game","Carrying On His Will","Scopper Gaban","","OP13-067","R","Near Mint Foil","0.12","","1.3200","0.0100","0","0","0.1500",""
"8955734","One Piece Card Game","Carrying On His Will","Shaka","","OP13-107","C","Near Mint","0.03","","1.3200","0.0100","6","0","0.1500",""
"8955234","One Piece Card Game","Carrying On His Will","Shanks (028)","","OP13-028","SR","Near Mint Foil","0.62","","1.4700","0.1600","0","0","0.2800",""
"8955444","One Piece Card Game","Carrying On His Will","Shanks (065)","","OP13-065","R","Near Mint Foil","0.15","","1.3200","0.0100","0","0","0.1500",""
"8955539","One Piece Card Game","Carrying On His Will","St. Ethanbaron V. Nusjuro","","OP13-080","R","Near Mint Foil","0.48","","1.7100","0.4000","0","0","0.3500",""
"8955569","One Piece Card Game","Carrying On His Will","St. Jaygarcia Saturn","","OP13-083","R","Near Mint Foil","0.42","","1.6300","0.3200","0","0","0.3000",""
"8955639","One Piece Card Game","Carrying On His Will","St. Marcus Mars","","OP13-091","R","Near Mint Foil","0.50","","1.7400","0.4300","0","0","0.4200",""
"8955584","One Piece Card Game","Carrying On His Will","St. Shepherd Ju Peter","","OP13-084","R","Near Mint Foil","0.45","","1.6200","0.1200","0","0","0.3300",""
"8955619","One Piece Card Game","Carrying On His Will","St. Topman Warcury","","OP13-089","R","Near Mint Foil","0.54","","1.7500","0.4400","0","0","0.4300",""
"8955754","One Piece Card Game","Carrying On His Will","Stussy","","OP13-110","SR","Near Mint Foil","0.41","","1.5600","0.2500","0","0","0.2800",""
"8955219","One Piece Card Game","Carrying On His Will","Sunny-Kun","","OP13-026","C","Near Mint","0.05","","1.3200","0.0100","5","0","0.1500",""
"8955614","One Piece Card Game","Carrying On His Will","Terry Gilteo","","OP13-088","UC","Near Mint","0.04","","1.3200","0.0100","2","0","0.1500",""
"8955689","One Piece Card Game","Carrying On His Will","The Empty Throne","","OP13-099","C","Near Mint","0.05","","1.3200","0.0100","4","0","0.1500",""
"8955674","One Piece Card Game","Carrying On His Will","The Five Elders Are at Your Service!!!","","OP13-096","R","Near Mint Foil","0.44","","1.5600","0.2500","0","0","0.3900",""
"8955799","One Piece Card Game","Carrying On His Will","The One Who Is the Most Free Is the Pirate King!!!","","OP13-116","UC","Near Mint","0.08","","1.3200","0.0100","2","0","0.1500",""
"8955679","One Piece Card Game","Carrying On His Will","The World's Equilibrium Cannot Be Maintained Forever","","OP13-097","C","Near Mint","0.08","","1.3400","0.0300","0","0","0.1500",""
"8955474","One Piece Card Game","Carrying On His Will","Tom","","OP13-069","C","Near Mint","0.02","","1.3200","0.0100","4","0","0.1500",""
"8955249","One Piece Card Game","Carrying On His Will","Tony Tony.Chopper","","OP13-030","UC","Near Mint","0.08","","1.3200","0.0100","2","0","0.1500",""
"8955254","One Piece Card Game","Carrying On His Will","Trafalgar Law","","OP13-031","R","Near Mint Foil","0.47","","1.5500","0.2400","0","0","0.1900",""
"8955199","One Piece Card Game","Carrying On His Will","Uta","","OP13-023","SR","Near Mint Foil","0.44","","1.3700","0.0600","0","0","0.2100",""
"8955769","One Piece Card Game","Carrying On His Will","Vegapunk","","OP13-112","C","Near Mint","0.05","","1.3200","0.0100","5","0","0.1500",""
"8955334","One Piece Card Game","Carrying On His Will","Vista","","OP13-046","R","Near Mint Foil","0.12","","1.3200","0.0100","3","0","0.1500",""
"8955174","One Piece Card Game","Carrying On His Will","Wapol","","OP13-018","UC","Near Mint","0.05","","1.3200","0.0100","4","0","0.1500",""
"8955194","One Piece Card Game","Carrying On His Will","Windmill Village","","OP13-022","C","Near Mint","0.07","","1.3200","0.0100","4","0","0.1500",""
"8955104","One Piece Card Game","Carrying On His Will","Woop Slap","","OP13-006","C","Near Mint","0.04","","1.3200","0.0100","4","0","0.1500",""
"8955664","One Piece Card Game","Carrying On His Will","York","","OP13-094","C","Near Mint","0.05","","1.3200","0.0100","0","0","0.1500",""
"8830014","One Piece Card Game","Legacy of the Master","Koala (086) (Alternate Art)","","OP12-086","R","Near Mint Foil","10.60","","11.3100","10.0000","0","0","8.9500",""
"8946832","One Piece Card Game","Premium Booster -The Best- Vol. 2","Cavendish - EB01-012 (Reprint)","","EB01-012","SR","Near Mint Foil","1.38","","2.0500","0.7400","0","0","0.7500",""
"8946877","One Piece Card Game","Premium Booster -The Best- Vol. 2","Laboon (Reprint)","","EB01-048","SR","Near Mint Foil","0.73","","1.8000","0.4900","0","0","0.5000",""
"8929549","One Piece Card Game","Premium Booster -The Best- Vol. 2","Trafalgar Law - PRB02-002","","PRB02-002","SR","Near Mint Foil","1.12","","1.7900","0.4800","0","0","0.5000",""
"8567433","One Piece Card Game","Royal Blood","Sanji","","OP10-005","SR","Near Mint Foil","5.20","","5.8000","5.8000","0","0","3.2500",""
"8567578","One Piece Card Game","Royal Blood","Smoker (030)","","OP10-030","SR","Near Mint Foil","1.06","","1.9900","0.6800","0","0","0.2500",""
"460293","Pokemon","Base Set","Vulpix","","068/102","Common","Near Mint","0.70","0.68","1.6600","0.3500","0","0","0.2900",""
"447825","Pokemon","Base Set","Vulpix","","068/102","Common","Lightly Played","0.34","","1.5000","0.1800","0","0","0.1900",""
"4169694","Pokemon","Hidden Fates","Misty's Water Command","","63/68","Holo Rare","Near Mint Holofoil","0.76","0.97","1.8000","0.4900","1","0","0.3000",""
"9125327","Pokemon","ME: Ascended Heroes","Air Balloon","","181/217","Uncommon","Near Mint","0.25","0.26","","","0","0","0.1000",""
"9125347","Pokemon","ME: Ascended Heroes","Boss's Orders [Corbeau] - 183/217","","183/217","Uncommon","Near Mint","0.26","0.25","1.3800","0.0600","0","0","0.1000",""
"9123862","Pokemon","ME: Ascended Heroes","Budew - 016/217","","016/217","Common","Near Mint","0.12","0.08","1.3300","0.0200","1","0","0.1000",""
"9123972","Pokemon","ME: Ascended Heroes","Camerupt","","028/217","Uncommon","Near Mint","0.07","0.04","1.3200","0.0100","0","0","0.1000",""
"9125367","Pokemon","ME: Ascended Heroes","Canari - 185/217","","185/217","Uncommon","Near Mint","0.34","0.15","1.4500","0.1400","0","0","0.1000",""
"9123902","Pokemon","ME: Ascended Heroes","Charmander","","020/217","Common","Near Mint","0.12","0.09","1.3200","0.0100","1","0","0.1000",""
"9123912","Pokemon","ME: Ascended Heroes","Charmeleon","","021/217","Uncommon","Near Mint","0.14","0.10","1.3300","0.0200","0","0","0.1000",""
"9124387","Pokemon","ME: Ascended Heroes","Clefable","","075/217","Uncommon","Near Mint","0.09","0.05","1.3200","0.0100","2","0","0.1000",""
"9125137","Pokemon","ME: Ascended Heroes","Drakloak - 159/217","","159/217","Common","Near Mint","0.09","0.08","1.3200","0.0100","1","0","0.1000",""
"9125052","Pokemon","ME: Ascended Heroes","Dratini","","150/217","Common","Near Mint","0.17","0.10","1.3200","0.0100","0","0","0.1000",""
"9124257","Pokemon","ME: Ascended Heroes","Eelektrik","","060/217","Uncommon","Near Mint","0.12","0.11","1.3400","0.0300","2","0","0.1000",""
"9123747","Pokemon","ME: Ascended Heroes","Erika's Bellsprout","","004/217","Common","Near Mint","0.12","0.08","1.3200","0.0100","1","0","0.1000",""
"9123732","Pokemon","ME: Ascended Heroes","Erika's Gloom","","002/217","Uncommon","Near Mint","0.12","0.05","1.3800","0.0700","1","0","0.1000",""
"9123777","Pokemon","ME: Ascended Heroes","Erika's Tangela - 007/217","","007/217","Common","Near Mint","0.12","0.08","1.3200","0.0100","1","0","0.1000",""
"9124817","Pokemon","ME: Ascended Heroes","Gastly","","123/217","Common","Near Mint","0.10","0.05","1.3200","0.0100","2","0","0.1000",""
"9125407","Pokemon","ME: Ascended Heroes","Glass Trumpet - 189/217","","189/217","Common","Near Mint","0.05","0.05","","","1","0","0.1000",""
